L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.035,0.085,0.10375,0.0001825,-0.002595,0.000945,-0.14125,-0.1,0.20375,0.0025625,0.0055549997,0.0078724995,1742104111.7184918
0.005,0.1,0.13625,0.017424999,-0.0019075,-0.00763,-0.0575,-0.0725,0.11125,0.01857,0.035325002,0.0237275,1742104111.832747
0.0575,-0.01875,0.10125,-0.015502499,-0.015335,-0.0240025,0.04,-0.00125,0.125,0.0101925,-0.00016750001,0.0160075,1742104111.946759
-0.04,0.0425,0.15875,0.002365,0.10707,0.078415,-0.1325,-0.12375,-0.09125,-0.0028375,0.13211,-0.05667,1742104112.061402
-0.085,0.2525,-0.08375,0.001145,-0.008285,-0.0410925,0.0025,-0.05,-0.05125,0.0302875,-0.0664375,0.0443875,1742104112.174625
0.01125,-0.0,0.06,0.0287025,-0.0658575,-0.058945,-0.01125,-0.015,0.29875,-0.015702501,-0.1018825,0.0031575,1742104112.288725
-0.07125,-0.21375,0.425,-0.0204325,0.010895001,0.037765,-0.065,-0.065,0.16625,0.018584998,0.1546625,-0.0364525,1742104112.403878
-0.43375,0.11,-0.21375,-0.1608575,0.0994425,0.150985,0.0325,-0.1175,-0.13625,-0.0051875,-0.054505,0.0467975,1742104112.5167308
0.02,0.005,0.01375,0.023682501,-0.1110525,-0.11023001,0.07375,0.0125,0.325,-0.030105,-0.1103375,0.023865,1742104112.6304388
-0.04875,-0.08375,0.31875,-0.006455,0.08154251,0.066605,-0.0475,-0.07625,0.0175,0.0047600004,0.1464375,-0.0528875,1742104112.744731
-0.1675,0.45375,-0.27625,-0.059235,0.070967495,0.1042775,0.01375,-0.0725,-0.04125,0.0010525,-0.0655375,0.0481725,1742104112.858625
0.00375,-0.01875,0.07125,0.02681,-0.136565,-0.081725,0.03125,0.0575,0.2575,-0.02591,-0.11865249,0.02417,1742104112.972471
-0.055,-0.045,0.30875,-0.0187525,0.092605,0.0618275,-0.035,-0.06125,0.04,0.00821,0.1292725,-0.0385275,1742104113.086644
-0.075,0.40875,-0.25125,-0.019745002,0.0189675,0.030305,0.0225,-0.06875,-0.0125,-0.00679,-0.061767504,0.032822497,1742104113.203955
0.0225,-0.03875,0.17,0.0393825,-0.1434775,-0.058837503,-0.01625,-0.0075,0.32,0.0110775,-0.0629575,0.013274999,1742104113.314608
-0.01,0.0175,0.16125,-0.0086675,0.089935,0.078065,-0.0225,-0.0825,-0.02625,0.00151,0.099945,-0.0450125,1742104113.4287019
-0.0575,0.34625,-0.085,-0.0148325,-0.0049125,-0.026595,0.055,-0.06875,0.0175,0.016525,-0.0591275,0.0331575,1742104113.544599
0.01875,-0.07125,0.325,0.028245,-0.163575,-0.0569775,-0.025,-0.06125,0.29375,0.0068200002,0.0071725002,-0.0183875,1742104113.6566541
-0.06875,0.1,0.06875,0.0034625002,0.088287495,0.0934,-0.03125,-0.1275,-0.02375,-0.0059499997,0.0944525,-0.03067,1742104113.770849
0.03,0.11875,0.00625,-0.0469525,-0.0511475,-0.09555,0.08625,-0.0475,0.0925,0.0364525,-0.0779275,0.037995,1742104113.884547
-0.06625,-0.0575,0.27875,-0.0192875,-0.0188,0.04802,-0.02,-0.0525,0.21625,-0.0027925,0.0387425,-0.01912,1742104113.998683
-0.08375,0.1225,0.01375,-0.0208125,0.105697505,0.081725,0.0025,-0.12,-0.06,-0.0242625,0.0833425,-0.017944999,1742104114.112708
0.04125,0.0575,0.04,-0.0151525,-0.0980975,-0.0924075,0.08375,-0.03875,0.11625,0.0311425,-0.091355,0.028915001,1742104114.2264829
-0.005,-0.04,0.22625,-0.0122675,0.0526125,0.03534,0.04875,-0.0375,0.18625,-0.0089425,0.105790004,-0.0242625,1742104114.345438
-0.1275,0.16875,-0.0375,-0.0187675,0.101945,0.089645,0.0625,-0.10625,-0.0475,0.0074475002,-0.0122225,0.007095,1742104114.4546099
-0.01,0.05625,-0.005,0.00331,-0.082352504,-0.096192494,0.08625,-0.015,0.12,0.00731,-0.1231225,0.0249325,1742104114.56849
-0.0075,-0.08125,0.27375,-0.0258325,0.005905,0.041625,0.05375,-0.05625,0.14125,-0.025695,0.1354075,-0.0413825,1742104114.6859121
-0.18375,0.22375,-0.07625,-0.0578,0.102065004,0.084457494,0.045,-0.13375,-0.05625,0.041442502,-0.0260475,0.0260475,1742104114.796617
0.05875,0.01625,0.0425,0.0201425,-0.123917505,-0.0968775,0.10125,0.02125,0.15125,-6e-05,-0.119995005,0.0220325,1742104114.9104939
-0.02375,-0.04625,0.2175,-0.0196375,0.110947505,0.06575,0.04375,-0.06625,0.09,-0.0095525,0.102644995,-0.044755,1742104115.026036
-0.18,0.28,-0.08,-0.049575,0.07988,0.088165,0.06375,-0.15375,-0.04875,0.044175,-0.00882,0.029709999,1742104115.138517
-0.03625,0.1125,-0.045,0.009795,-0.0831,-0.0793925,0.0725,-0.04875,0.07875,0.019072501,-0.10901,0.02803,1742104115.252597
-0.01125,-0.16,0.375,0.0108025,-0.0901175,-0.024459999,-0.01625,-0.05,0.2875,-0.0101775,0.071762495,-0.02208,1742104115.3666298
-0.1075,0.0375,0.05625,-0.043837503,0.13639751,0.102905,-0.0,-0.235,-0.15,-0.0337225,0.06569,-0.015275,1742104115.486731
-0.025,0.13625,-0.085,0.0025025,-0.0517425,-0.0780175,0.06125,-0.01125,0.095,0.0163125,-0.079925,0.0296475,1742104115.594477
0.03625,-0.13625,0.30125,0.067535006,-0.125655,-0.0296475,-0.05875,-0.085,0.3225,0.0051574996,0.04329,-0.020965,1742104115.708553
-0.0375,-0.01375,0.1525,-0.036849998,0.11354,0.0777425,-0.10875,-0.13,-0.06,-0.015915,0.117065005,-0.03888,1742104115.827549
-0.0,0.2275,-0.13625,-0.0243225,-0.0224,-0.0305625,0.04,-0.05,0.01875,0.02884,-0.0836175,0.0373225,1742104115.936457
0.0375,-0.0775,0.14625,0.0973825,-0.1523425,-0.0493625,-0.0925,-0.08625,0.3225,0.01004,0.002715,-0.020905001,1742104116.050774
-0.03375,-0.015,0.18375,-0.019685,0.093385,0.06369,-0.0875,-0.1775,-0.07375,-0.038117502,0.1310125,-0.0350025,1742104116.1671748
-0.0875,0.305,-0.11625,-0.0597375,0.0136875,0.021362498,0.02,-0.06875,-0.02,0.0519875,-0.063355,0.04013,1742104116.278569
0.0325,0.0675,0.04875,0.068862505,-0.1066275,-0.0632775,0.01125,-0.05,0.29,0.0052175,-0.0661,0.01155,1742104116.392477
-0.04625,-0.03875,0.2625,-0.01802,0.0880275,0.0706775,-0.01125,-0.0925,0.07875,-0.0139,0.12974499,-0.045335,1742104116.5078459
-0.225,0.25625,-0.08875,-0.058105,0.0638875,0.081635006,0.0275,-0.105,-0.0625,0.0384675,-0.042724997,0.04045,1742104116.6205802
-0.025,0.06125,-0.025,0.015885001,-0.098877504,-0.08879,0.07625,0.00875,0.1125,-0.00322,-0.13935749,0.0305625,1742104116.7343402
-0.0275,-0.13125,0.36,-0.0086525,-0.0444325,0.01921,0.07,-0.03875,0.1875,-0.0206,0.127685,-0.0149225,1742104116.848693
-0.1575,0.0725,0.01125,-0.089462504,0.123519994,0.0885475,0.11875,-0.1625,-0.0925,0.009795,0.014205,-0.008605,1742104116.967917
-0.03625,0.08875,-0.0375,0.02533,-0.0596775,-0.0833125,0.09625,0.0175,0.1525,0.0050500003,-0.125825,0.0148475,1742104117.075308
0.0425,-0.11375,0.3,0.043959998,-0.081725,-0.0139925005,0.00375,-0.0725,0.2475,-0.0021525,0.078779995,-0.011855,1742104117.189238
-0.08875,0.045,0.06125,-0.045912497,0.1401975,0.07405,-0.06,-0.11625,-0.11,-0.0160375,0.105895,-0.01825,1742104117.309503
-0.0475,0.13625,-0.0625,0.0216075,-0.069382496,-0.092300005,0.07625,-0.01875,0.09375,0.026870001,-0.094285004,0.0258625,1742104117.416358
0.0625,-0.1575,0.355,0.005295,-0.0879525,-0.0124675,0.01125,-0.0325,0.27125,-0.0001825,0.08586,-0.0237425,1742104117.5304608
-0.075,0.0475,0.0575,-0.05539,0.117095,0.087035,-0.03,-0.185,-0.125,-0.0578925,0.1039875,-0.035645,1742104117.64892
-0.0875,0.125,-0.06,0.033522498,-0.079849996,-0.0863025,0.0725,-0.055,0.06875,0.0413675,-0.1012575,0.031127501,1742104117.7584121
-0.02625,-0.1725,0.2925,0.05635,-0.169235,-0.0410625,-0.10125,-0.04,0.29,0.004365,0.04007,-0.023559999,1742104117.872481
-0.05875,0.03875,0.13375,-0.066575,0.103225,0.070892505,-0.06125,-0.11125,-0.07875,-0.048767503,0.14064,-0.0356,1742104117.9898849
-0.06375,0.17625,-0.12125,0.0177775,-0.0275875,-0.0431825,0.06,-0.06875,-0.0025,0.0240775,-0.076767504,0.023559999,1742104118.100443
0.01,-0.13125,0.22,0.06189,-0.14814751,-0.057815,-0.075,-0.06,0.32375,0.039564997,-0.0693975,0.0041799997,1742104118.214585
-0.0075,0.02,0.13125,-0.0278925,0.1275175,0.0679175,-0.055,-0.13625,-0.11,-0.0304575,0.11345,-0.0334025,1742104118.331145
-0.05,0.18375,-0.0825,0.015595,-0.05484,-0.05478,0.06375,-0.0525,0.07125,0.032302503,-0.0836325,0.033982497,1742104118.451118
0.03375,-0.09875,0.30125,0.050735,-0.074555,-0.0231475,0.02375,-0.03625,0.21375,-0.0071875,0.074355006,-0.0216825,1742104118.5564642
-0.065,0.0625,0.05375,-0.01944,0.12798999,0.0815725,0.03,-0.19875,-0.145,-0.0193625,0.0652475,-0.022065,1742104118.670531
-0.04125,0.1,-0.04,0.020615,-0.061935,-0.081955,0.04375,-0.07,0.0725,0.0260475,-0.1077275,0.029450001,1742104118.7912781
-0.00625,-0.13375,0.33125,0.0466925,-0.1212475,-0.037017502,-0.10125,-0.075,0.29375,0.006775,0.0499425,-0.01712,1742104118.898439
-0.06,0.055,0.125,-0.056732498,0.12648,0.06926,-0.08125,-0.11875,-0.065,-0.0334325,0.1210625,-0.0222775,1742104119.0126662
-0.01375,0.0725,0.0,0.0124975005,-0.0429675,-0.073975,0.08625,-0.03625,0.05125,0.0119475005,-0.07080001,0.02214,1742104119.134902
0.0025,-0.055,0.35375,0.0092,-0.016647499,0.034592498,-0.03625,-0.065,0.26625,0.00441,0.045822497,-0.023285,1742104119.2517881
-0.12,0.11625,0.05125,-0.0568075,0.0983275,0.05951,-0.03125,-0.07875,-0.085,-0.0036475,0.0988925,-0.01175,1742104119.354677
0.03875,0.045,0.0175,-0.0014500001,-0.065385,-0.0888525,0.07875,-0.03375,0.105,-0.00331,-0.10054,0.0131075,1742104119.472615
-0.035,-0.07375,0.30625,-0.0175775,0.01918,0.02626,-0.1125,-0.06,0.29625,0.00969,0.0280925,-0.0169225,1742104119.593395
-0.13375,0.11375,0.0275,-0.0687725,0.1042325,0.076142505,0.00625,-0.11375,-0.09125,0.0018775001,0.093169995,0.0099949995,1742104119.696385
0.0425,-0.02,0.04875,0.00508,-0.116652496,-0.09674,0.07375,-0.005,0.1125,-0.0020899998,-0.0959175,0.0089425,1742104119.812603
-0.05125,-0.06375,0.2525,-0.009415,0.0092325,0.04332,-0.06375,-0.04875,0.25875,0.00821,0.044830002,-0.022782499,1742104119.931802
