L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.01875,-0.00125,0.125,0.0016025,-0.0001375,-0.00035,-0.015,-0.11125,-0.0825,0.0062399996,0.004485,-0.0095525,1742111153.103219
-0.02,0.0,0.12625,0.00537,0.0051574996,-0.0043325,-0.02625,-0.12875,-0.13,0.001235,-0.00879,0.0102075,1742111153.2186081
-0.015,-0.00125,0.13,0.0045025,0.00357,-0.0041199997,0.0175,-0.0575,-0.0375,-0.0043175,-0.020295,0.0111225005,1742111153.338939
-0.00375,-0.01,0.12,0.0061950004,0.0048825,-0.0016775,0.0225,-0.06375,-0.01375,0.0081625,0.0139925005,-0.0227975,1742111153.445178
-0.0075,-0.01875,0.115,0.00029,0.0007625,-0.00125,-0.0325,-0.16375,-0.19125,0.0033575,-0.00016750001,0.0101025,1742111153.559365
-0.00375,-0.0125,0.13,-0.000107500004,0.00023,-0.0013875001,0.02625,-0.0375,-0.0175,-0.00354,-0.0098575,0.018265,1742111153.679088
-0.005,-0.0175,0.12,0.00016750001,0.0016025,-0.0012975,-0.00625,-0.06625,-0.065,0.0065925,0.0272225,-0.0329425,1742111153.787292
-0.0,-0.01625,0.12375,0.0004425,-0.0019525,0.00035,-0.03875,-0.12375,-0.10875,-0.0051125004,-0.0168,0.0239875,1742111153.901641
-0.005,-0.01375,0.12125,0.00045750002,0.0021675,-0.0019225,0.05,-0.01625,-0.015,-0.00125,0.0046075,-0.0025775002,1742111154.0186172
-0.00375,-0.02125,0.12,0.000365,-0.001235,-0.0004275,-0.05375,-0.1575,-0.18375,0.0072625,0.020965,-0.0187225,1742111154.1292758
-0.00375,-0.015,0.12375,0.00389,0.001175,0.0006725,-0.00875,-0.07625,-0.05,-0.0078275,-0.022355,0.0272675,1742111154.2431622
-0.0025,-0.02,0.11875,0.00091500004,-0.00026,-0.0010825,0.04375,-0.04125,-0.025,0.004105,0.0084525,-0.014175001,1742111154.359947
-0.00625,-0.0175,0.12,0.0018475,-0.004165,-0.0018300001,-0.0625,-0.1625,-0.23,0.00055,0.0141,-0.0071725002,1742111154.478488
-0.00875,-0.01875,0.125,0.0012050001,0.0007475,-0.000945,0.0075,-0.0575,0.00125,-0.0072625,-0.02411,0.0252525,1742111154.5851488
-0.00625,-0.02,0.11875,0.0007625,0.00125,-0.00116,0.035,-0.04625,-0.0075,0.0047600004,0.03,-0.01622,1742111154.699151
-0.00625,-0.025,0.12125,0.0007325,-0.0003975,0.00032,-0.05375,-0.16625,-0.19375,-0.0040125,-0.013885,0.0010075001,1742111154.8179379
-0.00625,-0.02,0.12,0.002045,0.000885,0.0,0.03,-0.0475,0.00375,-0.0019075,-0.0044549997,0.0157925,1742111154.927045
-0.01,-0.025,0.12125,6e-05,-0.00023,-0.0004275,-0.03,-0.08125,-0.09625,0.0110775,0.036865003,-0.0263525,1742111155.041291
-0.0025,-0.02375,0.1175,0.0007175,-0.0004725,0.0009925,-0.0425,-0.12875,-0.10625,-0.0104075,-0.0366675,0.01738,1742111155.1581461
-0.00625,-0.0225,0.12,-0.0005025,0.00033500002,-0.0013125,0.04375,-0.0525,-0.0075,6e-05,0.0047600004,0.0039224997,1742111155.269273
-0.00875,-0.0275,0.11875,-0.000245,-0.0010075001,-0.0001375,-0.05375,-0.14375,-0.18375,0.01117,0.0289,-0.0272975,1742111155.3833358
-0.00625,-0.02,0.1225,-0.0010075001,0.00125,0.001435,-0.015,-0.09125,-0.05375,-0.0042575,-0.028212499,0.0219875,1742111155.498427
-0.005,-0.02,0.12,-0.0004275,0.0010825,-0.00016750001,0.0525,-0.0525,-0.0175,0.0048375,0.01599,-0.00673,1742111155.618478
-0.00875,-0.0225,0.1225,0.00055,-0.0004125,3e-05,-0.0675,-0.16,-0.21625,-0.0005025,-0.01326,-0.0044400003,1742111155.725235
-0.00625,-0.02,0.12125,-1.5e-05,0.0007175,-0.00023,0.015,-0.05125,-0.015,-0.006805,-0.0189525,0.023177499,1742111155.839239
-0.0075,-0.02125,0.12,0.0001375,-0.000535,-0.00058,0.03375,-0.04,-0.03625,0.0010075001,0.02884,-0.017715,1742111155.957841
-0.0075,-0.0275,0.12375,0.000565,0.0003975,0.00058,-0.07125,-0.16,-0.19625,-0.0041799997,-0.0106975,0.0003825,1742111156.067072
-0.005,-0.0175,0.1175,-4.5e-05,-0.0001225,0.000305,0.01625,-0.05375,-0.03125,-0.0001975,-0.0104375,0.0208275,1742111156.181213
-0.00875,-0.0225,0.12375,9.25e-05,0.0002125,9.25e-05,0.00875,-0.06,-0.065,0.008225,0.0216975,-0.022935,1742111156.298149
-0.0025,-0.02375,0.1175,0.000275,0.000885,0.00091500004,-0.04375,-0.12625,-0.13375,-0.0142525,-0.034805,0.01126,1742111156.409153
-0.005,-0.02,0.12,-0.0001975,-0.0001825,-0.0011900001,0.0475,-0.06125,-0.005,-0.00151,-0.0036324998,0.0045475,1742111156.523482
