L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.00125,0.03,0.13875,0.0002125,-0.01097,-0.0157625,-0.025,-0.045,0.1475,0.0039224997,-0.00091500004,-0.001785,1742107642.744517
0.005,-0.00375,0.1725,-0.0243825,0.0133825,-0.033462502,-0.03625,-0.085,0.12625,-0.005035,0.00554,0.019057501,1742107642.8580558
0.04125,-0.03625,0.0825,-0.02411,0.0372775,0.00331,-0.0175,-0.0575,0.115,-0.00586,-0.02925,0.05243,1742107642.972267
0.015,0.04,0.03125,-0.025695,-0.0040275003,0.058424998,-0.06375,0.0225,0.165,0.018584998,-0.0146025,0.0620125,1742107643.086051
-0.03125,0.1575,0.075,0.027709998,-0.0417175,0.01088,-0.01875,0.03375,0.15375,-0.0040275003,0.05066,0.005065,1742107643.200116
-0.0675,0.11875,0.15375,0.02832,-0.036835,-0.0352775,0.02875,0.00125,0.05,0.0004125,0.05153,-0.025925,1742107643.314053
-0.0725,-0.01875,0.19625,0.0190275,0.0078425,-0.0395975,0.01,-0.055,-0.0275,-0.01114,-0.0308225,-0.037474997,1742107643.4283679
0.00375,-0.05625,0.09625,-0.016602501,0.065657504,-0.002075,-0.06375,-0.15125,0.15375,-0.018737499,-0.0768125,0.0130775,1742107643.54225
0.05125,-0.00375,-0.00375,-0.015655,0.0379175,0.046325002,-0.08875,-0.0625,0.2,0.0104075,-0.019105,0.050444998,1742107643.656084
-0.05125,0.165,0.0075,0.028944999,-0.045335,0.0688775,-0.055,0.005,0.1575,0.0043175,0.034455,0.0301525,1742107643.7699451
-0.10625,0.155,0.145,0.014115,-0.067445,-0.024977501,0.02625,-0.0025,0.05,-0.0030975002,0.07753,-0.021865,1742107643.886454
-0.1175,0.0425,0.195,0.0320275,-0.0122825,-0.051025003,0.02125,-0.08,-0.04125,-0.06807,-0.0255275,-0.047607496,1742107643.99828
-0.015,-0.055,0.1075,-0.016082501,0.0624225,-0.0169225,-0.11375,-0.16125,0.1375,0.008909999,-0.1237175,0.0245675,1742107644.112072
0.05375,-0.01625,0.01,-0.020965,0.0522775,0.0378275,-0.14125,-0.03875,0.1675,0.002305,-0.0178375,0.061675,1742107644.227129
-0.04375,0.16625,-0.0175,0.029862499,-0.020737499,0.0652925,-0.06625,-0.01375,0.135,0.013564999,0.064849995,0.02719,1742107644.3399549
-0.10375,0.17,0.105,0.017715,-0.073685,-0.01326,0.0125,-0.03125,0.0225,-0.07402,0.0788275,-0.048157502,1742107644.454058
-0.11125,0.04875,0.17375,0.037474997,-0.010055,-0.04448,-0.0425,-0.15,0.01375,-0.002685,-0.07132,-0.0340425,1742107644.571344
-0.01875,-0.0375,0.1125,-0.0066675,0.056654997,-0.0252525,-0.165,-0.11375,0.165,-0.00769,-0.092575,0.0416725,1742107644.682198
0.06,-0.01375,0.0175,-0.0196525,0.0584725,0.0296475,-0.1275,-0.07,0.13125,-0.000855,0.013152501,0.0694275,1742107644.7960372
-0.03,0.16125,-0.00625,0.016327498,-0.043580003,0.087525,-0.035,-0.02375,0.115,-1.5e-05,0.07728501,0.029692499,1742107644.910057
-0.10625,0.18375,0.11875,0.0146625005,-0.073410004,-0.03189,0.035,-0.0275,-0.02875,-0.0950625,0.059357498,-0.0645,1742107645.024169
-0.09875,0.025,0.15375,0.03627,-0.0148775,-0.0485375,-0.05875,-0.13625,0.0675,-0.0027325,-0.12645,-0.0112,1742107645.13828
0.0025,-0.0075,0.08625,-0.0164175,0.065400004,-0.020629998,-0.1875,-0.1375,0.16,0.002135,-0.0352475,0.0738525,1742107645.252078
0.025,0.0825,-0.03125,0.01027,0.0691675,0.044662498,-0.06375,-0.04625,0.1075,0.008529999,0.057815,0.0626825,1742107645.368343
-0.04875,0.18,0.03875,0.034195,-0.100585,0.0113525,0.005,-0.03125,0.035,-0.04721,0.0800475,-0.024977501,1742107645.4800708
-0.14875,0.1,0.16875,0.03325,-0.0655375,-0.051909998,0.01875,-0.1,-0.01125,-0.08609,-0.0420075,-0.0647125,1742107645.5941818
-0.02875,-0.00625,0.10375,-0.0216675,0.053925,-0.04837,-0.14625,-0.16125,0.11875,0.0107275,-0.1242075,0.062165,1742107645.708649
0.03625,0.0375,0.015,0.0039525,0.0827025,0.0251775,-0.1275,-0.09,0.10875,-0.009902501,0.015319999,0.070465,1742107645.8219771
-0.0125,0.16875,-0.015,0.024535,-0.021117501,0.06334,-0.02875,-0.0475,0.1025,-0.002885,0.073120005,0.028014999,1742107645.935998
-0.08375,0.16625,0.085,0.01146,-0.06302,-0.0184625,0.05125,-0.045,0.00625,-0.0824575,0.065184996,-0.0543225,1742107646.0524359
-0.0975,0.08125,0.14625,0.022459999,-0.0121450005,-0.0398875,-0.0125,-0.11875,0.0475,-0.0269175,-0.073470004,-0.0352775,1742107646.169545
-0.00375,0.0125,0.09375,-0.0158075,0.0567175,-0.03218,-0.14875,-0.11375,0.13875,0.0083325,-0.091492504,0.0511625,1742107646.277995
0.03625,0.025,-0.02,-0.0154725,0.058105,0.030227501,-0.115,-0.07,0.115,-0.0046075,0.02501,0.0681775,1742107646.391998
-0.03,0.155,-0.03375,0.0358425,-0.037675,0.0522775,-0.025,-0.03625,0.0925,-0.0075225,0.08107,0.0189825,1742107646.511275
-0.11625,0.18,0.09875,0.037474997,-0.062835,-0.0224925,0.04875,-0.04,-0.005,-0.105225,0.049072497,-0.06163,1742107646.620071
-0.08625,0.0725,0.12375,0.008529999,0.0210875,-0.041885,-0.03375,-0.11875,0.07,-0.01059,-0.088287495,-0.02539,1742107646.7341828
0.01125,0.015,0.07375,-0.0198525,0.065765,-0.0213775,-0.16125,-0.11625,0.15875,0.0098425,-0.06218,0.0600575,1742107646.849476
0.01875,0.0525,-0.0375,0.0031424998,0.0637825,0.04332,-0.09375,-0.07,0.115,0.0101175,0.048615,0.068129994,1742107646.96195
-0.04875,0.19125,-0.0175,0.0320425,-0.05153,0.03337,-0.005,-0.0425,0.05125,-0.024795,0.076705,-0.0043800003,1742107647.076054
-0.09125,0.17,0.10625,0.0313425,-0.0532225,-0.0230725,0.0375,-0.035,0.01,-0.060775,0.01114,-0.0638725,1742107647.190623
-0.065,0.06625,0.1275,0.02475,0.00299,-0.050017502,-0.0525,-0.1425,0.0675,-0.0186,-0.09668,-0.0087275,1742107647.310691
0.03875,-0.0,0.055,-0.0258475,0.064652495,-0.0092475,-0.155,-0.1075,0.145,0.0029749998,-0.0526725,0.056275003,1742107647.4179578
0.02,0.075,-0.05875,0.0319225,0.03897,0.055115003,-0.09,-0.05125,0.11875,0.0114899995,0.0623475,0.05902,1742107647.5335948
-0.05625,0.18125,0.04875,0.0216225,-0.06775,0.0080875,-0.0025,-0.04875,0.045,-0.037095003,0.071762495,-0.020355,1742107647.651681
-0.10375,0.15375,0.13125,0.0329425,-0.0444175,-0.037795,0.01625,-0.0875,0.0025,-0.05484,-0.007675,-0.0644675,1742107647.759083
-0.04375,0.0125,0.12625,0.005875,0.05037,-0.034927502,-0.075,-0.12875,0.0825,0.0011900001,-0.10875,0.0367425,1742107647.872998
0.06125,-0.0025,0.01125,-0.030365,0.0641475,0.0135200005,-0.13375,-0.14625,0.145,0.009125,-0.01068,0.0635075,1742107647.992307
-0.00625,0.11625,-0.05875,0.03978,-0.0054475004,0.0762175,-0.05625,-0.07375,0.10375,0.0025325,0.0670325,0.043,1742107648.100765
-0.0975,0.1875,0.07,0.0257875,-0.0770875,-0.005325,0.05125,-0.00375,0.0,-0.073165,0.0708625,-0.0340875,1742107648.213983
-0.1125,0.11125,0.12125,0.0243375,-0.007995,-0.0508875,0.00875,-0.10125,0.015,-0.053650003,-0.0493325,-0.061555002,1742107648.332201
-0.00625,0.02125,0.09,-0.019087499,0.0558025,-0.04657,-0.11875,-0.1425,0.1125,0.00508,-0.101715,0.0479425,1742107648.4418828
0.04375,0.03125,0.00375,-0.015395001,0.0608675,0.0219575,-0.12,-0.08125,0.13375,0.00299,0.0224,0.069305,1742107648.555764
-0.0125,0.15625,-0.05375,0.0429375,-0.017409999,0.0661475,-0.03,-0.035,0.08625,-0.01384,0.0821075,0.01213,1742107648.672657
-0.11125,0.18875,0.06125,0.034225,-0.0717,-0.010832501,0.04625,-0.05,-0.005,-0.109207496,0.043075,-0.0658425,1742107648.792695
-0.09,0.07625,0.1225,0.0143125,0.0025475,-0.0523675,-0.03,-0.13,0.065,-0.0012050001,-0.1127175,0.0028225,1742107648.897981
0.00625,0.03375,0.07125,-0.01709,0.06302,-0.027602501,-0.14625,-0.12375,0.15125,0.016815001,-0.047119997,0.070892505,1742107649.014524
0.02875,0.0525,-0.04125,-0.0087575,0.050995,0.040665,-0.0625,-0.0775,0.10125,0.0125124995,0.0667575,0.0526575,1742107649.13341
-0.03625,0.17625,-0.0425,0.018555,-0.0287625,0.050217498,0.01125,-0.06625,0.0425,-0.043732498,0.067412496,-0.01413,1742107649.240003
-0.09375,0.195,0.05,0.0307,-0.0541075,-0.009002499,0.05625,-0.05875,0.02375,-0.055907503,0.0157625,-0.04329,1742107649.3538969
