L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.00375,0.0075,0.135,0.01097,-0.0150150005,0.002105,-0.00375,0.0075,0.125,0.000365,-0.0015875,-0.0016025,1742218537.272248
-0.00625,0.0025,0.1475,-0.00734,0.023895001,-0.00016750001,-0.0025,0.005,0.11875,0.0018,-0.000565,-0.0001225,1742218537.384029
0.0425,0.01625,0.085,-0.0098275,0.022355,0.00299,-0.00375,0.01,0.12625,0.001435,-0.00232,0.0004425,1742218537.497984
0.05,0.025,0.0675,0.0092,-0.01439,0.0057975003,-0.0025,0.0025,0.125,0.00061,0.00061,0.0001525,1742218537.611829
-0.00625,0.00125,0.13625,0.02333,-0.0611875,0.0028525,-0.0025,0.01,0.125,-0.0006875,0.0001525,0.0003825,1742218537.724936
-0.04375,-0.01625,0.1675,-0.0034949998,-0.0040599997,-0.00502,-0.0025,0.0075,0.125,-0.0007475,-0.000245,-3e-05,1742218537.842815
-0.01375,0.00875,0.12125,-0.0320125,0.0844275,-0.011445,-0.0025,0.00875,0.125,0.0001975,0.00026,-6e-05,1742218537.953003
0.055,0.02125,0.05,-0.002885,0.0128925,-0.00052,-0.0025,0.00875,0.12375,-1.5e-05,-0.00032,-6e-05,1742218538.066944
0.035,0.025,0.09125,0.0072175004,-0.036284998,-0.0046075,-0.00375,0.00875,0.12625,-0.000365,-7.75e-05,-0.0001225,1742218538.180982
0.00625,0.015,0.13375,0.008239999,-0.033752497,-0.0022274998,-0.0025,0.01,0.12625,0.000305,-0.0001975,6e-05,1742218538.294931
-0.03875,0.01375,0.17,0.0060125,-0.00557,-0.00502,-0.00375,0.00875,0.12625,-0.000625,6e-05,1.5e-05,1742218538.411842
0.0175,0.0125,0.12,-0.0302425,0.068055004,-0.01175,-0.0025,0.01,0.12375,-0.0002125,-0.0001975,-9.25e-05,1742218538.522911
0.0625,0.0225,0.04875,-0.00557,0.0137325,0.0037850002,-0.0025,0.00625,0.125,0.00033500002,-0.0001525,-0.00016750001,1742218538.63671
0.035,0.0175,0.0725,0.030792499,-0.05957,0.0099325,-0.00375,0.01,0.125,0.00023,-0.0001975,-1.5e-05,1742218538.752864
-0.01125,0.005,0.14125,0.0125725,-0.0393975,0.0030375,-0.0025,0.00875,0.125,-0.0010525,0.000275,0.0,1742218538.8638039
-0.02875,-0.0125,0.16125,0.0040599997,-0.0057825,-0.00032,-0.0025,0.00875,0.125,-0.0001975,-0.00029,3e-05,1742218538.9780211
-0.02625,0.00125,0.15375,-0.0140675,0.0508275,-0.0036925,-0.00375,0.01,0.125,-0.000245,-0.0001825,-0.0001225,1742218539.092078
0.06125,0.01625,0.05125,-0.016280001,0.036195,0.0036475,-0.0025,0.00875,0.12375,-6e-05,-0.000245,-4.5e-05,1742218539.2057118
0.04625,0.02375,0.05125,0.018142499,-0.03502,0.00586,-0.0025,0.01,0.125,-0.0010675,0.0001225,3e-05,1742218539.318679
0.0275,0.01625,0.115,0.016525,-0.0504925,0.0004275,-0.0025,0.01125,0.12375,0.000535,7.75e-05,-4.5e-05,1742218539.432857
-0.005,0.0,0.15375,0.010545,-0.03421,0.001495,-0.0025,0.0075,0.125,0.0001375,0.0001225,-0.0001525,1742218539.545822
-0.045,0.01,0.18625,-0.0078575,0.024735,-0.000275,-0.00375,0.01125,0.12625,0.00032,-6e-05,-0.0001975,1742218539.659921
0.03,0.01625,0.09375,-0.02745,0.067154996,-0.0054325,-0.00375,0.00875,0.125,0.0007625,-0.000365,-0.000107500004,1742218539.773835
0.06625,0.03,0.04125,0.000625,0.018142499,0.00467,-0.0025,0.00875,0.125,-0.0003825,7.75e-05,0.000107500004,1742218539.887611
0.0525,0.04125,0.075,0.023605,-0.048630003,0.002685,-0.00375,0.00875,0.125,0.00052,4.5e-05,0.0001375,1742218540.000711
