L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.03875,0.04,0.085,-0.0102075,-0.0080575,-0.0003975,-0.005,-0.0475,0.10875,-0.0104674995,-0.0047925,-0.00435,1742218945.17717
0.01,0.0375,0.11125,0.0018300001,-0.0157475,0.02423,-0.06,-0.09,0.145,0.007125,0.0018150001,0.0062725,1742218945.294244
-0.02875,0.10625,0.1675,-0.004105,0.01918,0.0243825,-0.01625,-0.0875,0.0875,0.0284275,0.0025625,0.05185,1742218945.404257
-0.01375,0.14,0.07375,-0.004945,0.034195,-0.007095,0.03125,0.00375,0.05875,-0.001725,-0.024245001,0.044785,1742218945.518327
0.02625,0.09,0.0125,-0.0074775,0.00331,-0.0263225,0.0125,0.01625,0.09625,0.0087425,-0.0566875,0.0039975,1742218945.6349802
0.04875,0.02125,0.04375,0.0062399996,-0.0361625,-0.01831,-0.065,-0.02875,0.195,0.0143425,-0.00508,-0.02864,1742218945.7548501
0.0125,0.025,0.11875,-0.009125,-0.03885,0.0077199996,-0.06625,-0.125,0.125,0.0135200005,0.044067502,-0.0254675,1742218945.8603039
-0.03625,0.0875,0.17625,-0.0068200002,-0.0036624998,0.01802,-0.03,-0.1275,0.05875,0.0063325,0.02768,0.019012501,1742218945.974655
-0.01625,0.09,0.13125,-0.01007,0.0284875,0.0042875,0.01375,-0.06875,0.03875,0.0010225,-0.00554,0.029114999,1742218946.094891
0.0075,0.09375,0.0475,0.0083475,0.0270075,-0.0058125,0.01875,-0.02125,0.0925,-0.00508,-0.04715,0.01712,1742218946.202063
0.03,0.07625,0.0375,0.0013875001,0.0028225,-0.01567,0.02,-0.00125,0.13375,0.038117502,-0.027055,-0.0108025,1742218946.31608
0.04125,0.03875,0.075,0.001785,-0.02617,-0.0142675,-0.0075,-0.01625,0.15,-0.0037375,-0.011855,-0.0317075,1742218946.438369
0.0125,0.0175,0.11,-0.005645,-0.033675,0.01184,-0.05875,-0.105,0.14125,0.02266,0.0420675,-0.0284125,1742218946.554793
-0.03875,0.0825,0.195,0.0089425,0.0022425,0.027817499,-0.00375,-0.12625,0.0375,0.017959999,0.0292975,0.027755,1742218946.657999
-0.0375,0.155,0.0975,-0.027207501,0.0369875,-0.0001975,0.03125,-0.05,0.02625,0.0036475,-0.0143275,0.0328975,1742218946.7748249
0.00625,0.095,0.03,-0.0010225,0.017745001,-0.024475,0.0125,-0.0075,0.09625,-0.005065,-0.061845,0.0051424997,1742218946.88509
0.0475,0.04125,0.035,0.003175,-0.00879,-0.0246875,-0.0625,-0.0475,0.17875,-0.001495,-0.0216675,-0.0228425,1742218946.999074
0.04875,0.00375,0.08,-0.01262,-0.035462502,-0.0013875001,-0.05875,-0.08125,0.15875,0.0101475,0.034819998,-0.0270375,1742218947.115202
-0.02875,0.07375,0.12875,-0.0050975,-0.02304,0.0243825,-0.045,-0.13125,0.07625,0.0142675,0.05275,-0.0019375,1742218947.2347462
-0.035,0.10125,0.1875,0.001145,0.0216225,0.0243825,0.00875,-0.08375,0.025,0.0042275,0.015975,0.0301525,1742218947.341099
