L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.02,0.03875,0.11375,-0.0030825,0.0034475,-0.002395,-0.01625,-0.00125,0.12125,-0.0009625,0.00035,0.00232,1742218314.45725
-0.0125,0.035,0.105,0.0044549997,0.0039825,0.0013275,-0.01,0.0025,0.1325,0.00151,0.0060275,0.0051875,1742218314.571022
-0.0225,0.04625,0.10875,0.0064250003,-0.006805,0.0016025,-0.00625,-0.005,0.125,0.0021975,0.0071575,0.00737,1742218314.690432
-0.035,0.03875,0.125,0.00113,-0.0116125,0.0012675,0.00375,0.00125,0.125,0.0005025,0.0067600003,0.0098125,1742218314.796882
-0.04375,0.035,0.14625,0.0001525,0.0027774998,0.0004275,0.01375,0.0025,0.12375,0.0030975002,0.005355,0.008545,1742218314.91296
-0.03125,0.0375,0.16875,-0.0101175,0.0388325,-0.0041199997,0.02,-0.0025,0.12,0.006165,0.00409,0.0083625,1742218315.030278
0.00375,0.03375,0.10875,-0.0022125002,0.046235,0.002305,0.025,-0.0075,0.10875,0.0015575,-0.00058,0.00763,1742218315.136
0.01625,0.04125,0.0625,-0.0028525,-0.0036324998,0.0081325,0.0375,0.00125,0.11625,-0.0074,0.0063775,-9.25e-05,1742218315.250182
0.02,0.04125,0.0675,0.0027474998,-0.033767503,-0.0068825004,0.0325,-0.01875,0.12375,-0.0011900001,0.006165,0.00032,1742218315.37126
-0.00875,0.0425,0.15375,0.0009775,-0.0313425,-0.0036775,0.035,-0.01375,0.11375,-0.0051125004,0.004395,0.00467,1742218315.477011
-0.02375,0.00875,0.21125,-0.00235,0.00299,-0.004395,0.04,-0.01375,0.11,-0.00045750002,-6e-05,0.0058899997,1742218315.591109
-0.02,0.045,0.14875,-0.023559999,0.0770875,-0.0025625,0.04,-0.00625,0.10625,-0.0066075,-0.0114750005,0.011795,1742218315.7096379
0.02875,0.04625,-0.005,0.01744,-0.0042425,-0.0030825,0.0475,-0.01125,0.09375,-0.0140525,0.007645,-0.0018475,1742218315.819137
0.01375,0.035,0.0575,0.010865,-0.055069998,0.0025325,0.04625,-0.00625,0.1075,0.00059500005,-0.0030675002,0.0025775002,1742218315.9333708
-0.03125,0.0325,0.1525,0.0036324998,-0.04953,0.00171,0.045,0.0025,0.11625,-0.0004725,-0.0019675,0.0010075001,1742218316.049104
-0.06875,0.01625,0.21375,-0.0010225,-0.0001975,-0.0056925,0.0425,-0.005,0.11,0.0012675,-0.00232,0.001525,1742218316.161025
-0.03875,0.04125,0.135,-0.010162501,0.090195,0.00045750002,0.03625,-0.0125,0.11,0.002915,-0.01294,0.0045175,1742218316.2749922
0.04,0.0425,-0.02375,0.00264,-0.001785,0.0025475,0.05,-0.00375,0.1,-0.0104825,0.005585,-1.5e-05,1742218316.391618
0.00375,0.0475,0.07,-0.001725,-0.045592498,0.005235,0.04,-0.0075,0.11375,-0.0036925,-0.000945,-0.0025175,1742218316.5097868
-0.03875,0.04125,0.13875,0.0069575,-0.0487975,0.00177,0.04125,-0.0025,0.11625,-0.00116,0.0,-0.0007325,1742218316.617167
-0.0925,0.03125,0.21875,0.010545,-0.01445,0.0013275,0.0425,-0.0025,0.11125,0.00061,-0.0010375,-0.00023,1742218316.731153
-0.08125,0.0525,0.17125,0.0021525,0.091445,-0.0018150001,0.035,-0.00875,0.115,0.0010975,-0.008255,0.0010375,1742218316.849747
0.00125,0.0375,-0.045,0.0057225,0.014007499,0.0039975,0.04125,-0.01125,0.145,0.0077525,0.017715,0.0050500003,1742218316.958886
0.04125,0.03875,0.035,0.018934999,-0.0517425,0.0057825,0.04125,-0.00125,0.10875,-0.00148,0.00023,-0.0013425,1742218317.072167
-0.03,0.01,0.11375,0.0018625,-0.055494998,-0.000625,0.03875,-0.00625,0.12125,-7.75e-05,-0.0001375,9.25e-05,1742218317.1893198
