L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.025,0.0325,0.11625,-0.00032,0.0004275,-0.000885,-0.0,-0.00375,0.12125,0.0012675,-0.000275,-0.0018625,1742218278.834978
0.02375,0.035,0.1125,-0.0001225,-0.0013125,-0.0010075001,-0.005,-0.0,0.125,-0.000305,-0.0010225,0.0003975,1742218278.946523
0.0225,0.03125,0.11375,0.0024249998,-0.008315,-0.002,-0.00125,0.0025,0.12875,0.00055,0.0016625,-0.00026,1742218279.0603719
0.00125,0.0375,0.14,0.0113975,-0.0116425,-0.002045,-0.0,-0.00125,0.12375,0.0004275,0.000825,-0.0007175,1742218279.174478
-0.00125,0.02,0.16625,-0.0062399996,0.03102,-0.0003975,-0.0025,-0.0025,0.125,0.00032,3e-05,0.0001825,1742218279.288369
0.0375,0.02875,0.08375,-0.008239999,0.034287497,0.0030375,0.00125,-0.0025,0.125,-0.000107500004,0.00064,3e-05,1742218279.402369
0.05125,0.03625,0.05625,0.0036925,-0.00296,0.0036475,-0.00125,-0.00125,0.12625,7.75e-05,0.00026,0.000565,1742218279.516364
0.02625,0.05,0.0975,0.0068675,-0.043197498,-1.5e-05,-0.00125,0.0,0.125,3e-05,7.75e-05,0.00029,1742218279.6302521
0.00125,0.02375,0.145,0.0018,-0.0251775,-0.00557,0.0,-0.00125,0.12625,0.00032,0.0001375,-3e-05,1742218279.7461052
-0.00875,0.015,0.16125,0.002105,0.0065450002,-0.0001225,-0.0,-0.0025,0.12625,9.25e-05,0.0001825,6e-05,1742218279.858359
0.0025,0.03125,0.12625,-0.009765,0.0390625,0.0009,0.0,-0.0,0.125,0.000275,0.0001225,1.5e-05,1742218279.97212
0.0375,0.04,0.06125,-0.0090475,0.01529,0.0033875,0.00125,-0.00125,0.125,0.00091500004,0.0001525,-0.000365,1742218280.0860631
0.03875,0.05,0.06375,0.0028074998,-0.022125,0.00174,0.0,-0.005,0.125,0.00064,-6e-05,-9.25e-05,1742218280.199557
0.00625,0.0375,0.12375,0.001785,-0.0310375,-0.0040599997,0.00125,-0.0025,0.125,-0.00026,-9.25e-05,0.0004275,1742218280.3133771
-0.025,0.02875,0.17,0.008835,-0.01056,-0.0020899998,0.0,-0.0025,0.12625,-4.5e-05,0.0001225,9.25e-05,1742218280.429297
-0.03375,0.02875,0.17125,0.00061,0.029662501,0.0010225,-0.0,-0.00125,0.1275,0.0001975,-4.5e-05,0.0001225,1742218280.541368
0.01875,0.04,0.08375,-0.012025,0.033217497,0.0001525,0.00125,-0.0025,0.125,0.0020899998,0.001405,0.0004725,1742218280.655104
0.0525,0.035,0.04,-0.00032,-0.00467,0.00142,0.00375,-0.005,0.12375,0.00035,0.0001225,7.75e-05,1742218280.76815
0.01875,0.045,0.0975,0.0057075,-0.0337975,0.0016175,0.00125,-0.0025,0.1275,0.0,-0.0003825,0.00064,1742218280.881262
-0.0225,0.04375,0.15375,0.01059,-0.0264275,0.0018475,0.0,-0.00375,0.12625,-0.00091500004,0.0002125,0.00023,1742218280.995316
-0.0325,0.0325,0.17625,-0.001495,0.0101175,-0.0013275,0.00125,-0.0025,0.125,-0.00032,-0.00032,-0.0001225,1742218281.1094131
-0.005,0.0325,0.1225,-0.00879,0.0478975,-0.0045175,0.00125,-0.0025,0.12625,0.00023,0.000305,-0.0001975,1742218281.22642
0.05,0.0375,0.04375,-0.00122,0.015885001,0.00026,0.0025,-0.00375,0.125,9.25e-05,-0.0001525,1.5e-05,1742218281.337228
0.03375,0.04375,0.07,0.000655,-0.023515,0.0009,0.00125,-0.0025,0.12625,0.0,-3e-05,0.000275,1742218281.451339
0.00875,0.02625,0.11375,-0.00409,-0.033035,-0.00142,0.0025,-0.00375,0.125,4.5e-05,-0.0001225,-0.000107500004,1742218281.5673192
-0.02875,0.04125,0.17,0.0024725,-0.01213,-0.0021199998,0.0025,-0.00375,0.125,0.000655,0.0004425,4.5e-05,1742218281.679071
-0.0275,0.03375,0.16,0.002105,0.02028,0.00084,0.0025,-0.0025,0.1275,-6e-05,9.25e-05,-0.00026,1742218281.7922812
