L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.12125,-0.02,-0.025,-0.00264,0.002,-0.0012675,-0.02375,-0.05375,0.10875,0.0043025,0.00612,0.00293,1742109839.444082
0.12125,-0.0225,-0.0225,-0.0004425,0.00045750002,-0.0009925,-0.015,-0.0675,0.10375,0.0378575,0.01387,0.012375,1742109839.564428
0.1175,-0.0175,-0.0375,-0.0077199996,0.0064250003,-0.0007475,-0.00875,-0.16625,-0.1525,0.0827025,-0.0225975,-0.0047600004,1742109839.6707609
0.15625,0.00125,-0.02625,0.021790002,-0.011779999,-0.0062725,0.0625,-0.24375,0.10625,-0.015702501,0.02089,0.0008075,1742109839.784503
0.10625,-0.01,-0.02625,-0.00116,0.0089875,0.0039825,-0.00875,-0.1075,0.0275,-0.0115825,0.04718,-0.000107500004,1742109839.89869
0.1125,-0.02125,-0.04375,-0.0034175,0.0047750003,0.0004125,-0.03875,-0.17125,-0.26,-0.0193025,0.0002125,0.00801,1742109840.0126579
0.105,0.0075,-0.01375,0.0116425,-0.005005,0.003815,0.00875,-0.11875,0.0625,-0.046645,0.034957502,-0.0072625,1742109840.126579
0.1175,-0.01,-0.04,0.0045025,0.0101475,-0.0003825,-0.04875,-0.10125,0.0,-0.0033725,0.07338,-0.016875,1742109840.243231
0.1125,-0.01625,-0.05125,0.0010075001,-1.5e-05,-0.0055075004,-0.02625,-0.1625,-0.2925,-0.0290225,-0.0228125,0.011505,1742109840.354757
0.1175,-0.01625,-0.02375,0.016465,-0.012405,0.008575,0.2325,-0.08625,0.11375,-0.0059499997,-0.010895001,0.003175,1742109840.4685261
0.115,-0.02125,-0.05625,0.0086375,0.007385,-0.0056925,-0.06375,-0.14,-0.07125,0.0242,0.06076,-0.02243,1742109840.583026
0.11,-0.03,-0.03125,0.0054025003,-0.0020299999,-0.005965,-0.05375,-0.07625,-0.23,-0.022827499,-0.061584998,0.011185001,1742109840.702773
0.15125,0.00625,-0.03375,0.004135,-0.0033425,0.00091500004,-0.02125,-0.07625,0.14125,0.0066825,-0.039825,0.01982,1742109840.810505
0.12125,-0.01,-0.055,-0.0062100003,0.0033875,0.0020150002,-0.06625,-0.1575,-0.12375,0.0323175,0.0747825,-0.0137950005,1742109840.924575
0.10875,-0.03875,-0.0375,-0.00032,-0.00093,-0.0047,-0.10125,-0.08,-0.2425,-0.0219575,-0.1113275,0.024977501,1742109841.043322
0.17625,0.0275,-0.04125,0.0058899997,-0.0075225,-0.0107125,-0.105,-0.0625,0.1875,0.023545,-0.015365,0.0039975,1742109841.152529
0.11875,0.00125,-0.04375,-0.0169225,0.0013125,0.0075225,-0.0475,-0.16125,-0.11125,0.037415,0.068375,-0.015685,1742109841.266699
0.1125,-0.0375,-0.03875,-0.0021525,-0.0010825,-0.001145,-0.10375,-0.05875,-0.24,-0.0151675,-0.1147925,0.0128325,1742109841.3860009
0.16625,0.01625,-0.04125,0.0057225,-0.0033725,-0.007355,-0.04125,-0.0525,0.18375,0.032959998,-0.004975,0.0254675,1742109841.494517
0.1175,-0.01125,-0.05875,-0.0160225,0.00502,0.0022425,-0.075,-0.16625,-0.1625,0.033127498,0.054885,-0.01416,1742109841.608609
0.11,-0.04125,-0.0325,0.00763,-0.0029749998,-0.007385,-0.11375,-0.09,-0.21625,-0.012069999,-0.1334225,0.0039525,1742109841.7235
0.14,-0.00625,-0.03375,0.0019675,-0.0018925001,0.00079250004,-0.07625,-0.09875,0.16875,0.029907499,0.0157475,0.0025625,1742109841.83643
0.11875,-0.0075,-0.055,-0.017045,0.0025775002,0.0010825,-0.055,-0.14875,-0.1625,0.0148475,0.0493175,0.0016475001,1742109841.9505532
0.1125,-0.04125,-0.035,-0.00064,-0.0016325001,-0.0051574996,-0.10125,-0.0325,-0.1925,-0.0119025,-0.131135,0.002075,1742109842.064683
0.14375,-0.01125,-0.04125,0.000107500004,-0.0037850002,0.003875,-0.0825,-0.09125,0.1675,0.02919,0.05182,-0.0022274998,1742109842.183767
0.1075,-0.01125,-0.0475,-0.0099949995,0.00055,-0.00377,-0.10625,-0.2175,-0.23625,-0.013854999,0.0559375,0.015365,1742109842.292664
0.115,-0.05,-0.04,-0.004485,0.003555,0.00142,-0.11875,-0.01625,-0.125,-0.0511475,-0.14068499,0.020615,1742109842.407925
0.12375,-0.01375,-0.0225,-0.00035,-0.004195,-0.002595,-0.0725,-0.1225,0.17375,0.0301675,0.0726925,-0.0084675,1742109842.523961
0.105,-0.015,-0.05,-0.0146475,0.0009625,-0.0016025,-0.09375,-0.15125,-0.17875,0.0051574996,0.041977502,0.0062100003,1742109842.6345758
0.1125,-0.05,-0.03625,-0.00058,-0.0019075,0.0019824998,-0.15875,-0.0375,-0.17125,-0.01703,-0.159745,0.0078724995,1742109842.748733
0.1275,-0.02375,-0.02875,-0.00026,-0.019057501,0.01213,-0.04,-0.16,0.115,0.0791325,0.027405001,0.00328,1742109842.866059
0.1125,-0.0025,-0.02875,-0.009675,0.001755,-0.0041799997,-0.1125,-0.10125,-0.1925,0.0010975,0.0762175,0.00064,1742109842.98416
0.11125,-0.0425,-0.025,-0.0060125,0.0042125,-0.0024875,-0.1325,-0.10125,-0.22375,-0.0598,-0.15474,0.0188,1742109843.090535
0.135,-0.02875,-0.045,-0.0019225,0.00033500002,-0.003875,-0.0,-0.12375,0.08625,0.079697505,-0.01126,-0.0007175,1742109843.2045388
0.1125,-0.035,-0.05,-0.0087575,0.00087,0.00232,-0.07375,-0.12125,-0.0825,0.041215,0.055494998,-0.0001375,1742109843.324276
0.1175,-0.04125,-0.03375,0.0005025,-0.0005025,-0.00328,-0.08375,-0.06125,-0.265,-0.07808,-0.09552,0.030655,1742109843.432595
0.15875,-0.00125,-0.03625,0.00033500002,-0.0034325,-0.00113,-0.05,-0.08,0.14875,0.051025003,-0.020035,0.0074625,1742109843.546429
0.1125,-0.04375,-0.055,-0.0084375,0.0034949998,-0.0009775,-0.06625,-0.0975,-0.1025,0.047424998,0.0605,-0.0146625005,1742109843.664429
0.1125,-0.05375,-0.04125,0.00322,-0.0010225,-0.0046225,-0.08625,-0.06,-0.2575,-0.0411825,-0.0895375,0.0128775,1742109843.774635
0.155,-0.01625,-0.03125,0.023515,-0.0084375,0.0021525,-0.05,-0.06875,0.0125,-0.0729675,-0.029709999,0.0311575,1742109843.88856
0.12625,-0.055,-0.05125,-0.019317498,0.0084525,0.0025025,-0.08625,-0.07625,-0.07625,0.0110174995,0.0659625,0.0034625002,1742109844.004875
0.1025,-0.05,-0.04375,0.00016750001,-0.001145,-0.0019824998,-0.11375,-0.04,-0.32875,-0.07756,-0.061979998,0.04576,1742109844.124556
0.19,-0.00125,-0.0575,0.01088,-0.0013875001,0.00975,-0.0275,0.00875,0.1125,0.0352775,-0.0462025,0.0148925,1742109844.230317
0.1125,-0.055,-0.0475,0.00441,0.0013275,-0.0028525,-0.04875,-0.10625,-0.03125,0.034835,0.0661175,-0.016145,1742109844.346124
0.10375,-0.06125,-0.04,0.00679,0.00016750001,-0.0083625,-0.04125,-0.14,-0.29,-0.0370625,-0.00827,0.028747499,1742109844.464066
0.08125,-0.04625,-0.0275,-0.0054325,0.0009625,0.021835,0.0875,-0.18375,0.08125,-0.0093525,0.021270001,0.0040125,1742109844.57133
0.11625,-0.03875,-0.04625,0.0086375,0.0040125,-0.0096275,-0.0625,-0.15,-0.08625,0.0227975,0.063065,-0.020860001,1742109844.685555
0.10125,-0.05875,-0.03625,0.002075,-0.000107500004,-0.006225,-0.065,-0.0675,-0.27125,-0.0550225,-0.070235,0.0290525,1742109844.8043132
0.18125,-0.01375,-0.0475,0.016082501,-0.0090475,0.001465,-0.0325,-0.04,0.17125,0.0382075,-0.02919,0.0178525,1742109844.913355
0.10875,-0.045,-0.045,-0.0051424997,0.0031125,0.0010975,-0.065,-0.14625,-0.07875,0.039352503,0.0621025,-0.0113525,1742109845.027564
0.10875,-0.06,-0.0425,-0.0018150001,0.0018150001,-0.002885,-0.0925,-0.10125,-0.2525,-0.0438075,-0.1009525,0.0158225,1742109845.145154
0.18625,-0.00375,-0.04625,0.0164175,-0.004945,-0.0012675,-0.035,-0.0125,0.16125,0.02159,-0.02832,0.02031,1742109845.256254
