L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.02125,0.00875,0.1225,0.002685,0.0038,0.0003825,-0.00125,-0.11,-0.05875,0.0354775,-0.0098875,-0.00949,1742111010.2856572
-0.01375,-0.0075,0.12125,0.0030975002,0.0081325,-0.0062875,-0.025,-0.155,-0.10875,0.017915001,-0.0114750005,-0.012542499,1742111010.400147
-0.0075,-0.015,0.12375,0.0034325,0.00467,-0.0037850002,-0.01875,-0.095,-0.06,-0.0068200002,-0.017455,0.022645,1742111010.518856
-0.00625,-0.0175,0.12125,0.0013725,0.0038599998,-0.0010225,0.01375,0.01,0.00125,0.0116425,0.0074,-0.01657,1742111010.627848
0.0,-0.0075,0.1175,0.0004275,0.0015725,-0.0016775,-0.05625,-0.21375,-0.18625,0.0085,0.0148325,-0.00409,1742111010.741739
-0.0,-0.0125,0.13,0.002625,0.0027625,-0.00087,0.0075,-0.0475,-0.04125,0.001175,-0.01033,0.0251925,1742111010.857852
0.00375,-0.01375,0.11875,0.0019225,0.00319,-0.0010675,-0.025,-0.06875,-0.07,0.00566,0.020035,-0.0390025,1742111010.969677
0.00875,-0.015,0.11875,-7.75e-05,-0.00093,-0.0010225,-0.0475,-0.14875,-0.12,-0.0120075,-0.01825,0.031432502,1742111011.083796
0.0025,-0.015,0.12625,0.00023,0.000275,-0.0012050001,0.035,0.0175,-0.01875,0.001495,0.00064,0.001115,1742111011.1984289
0.00375,-0.0125,0.11875,0.0012975,0.00023,0.00033500002,-0.08,-0.2325,-0.16375,0.0101175,0.01764,-0.03209,1742111011.31836
0.005,-0.015,0.12625,0.0009,-0.0007175,-0.0012050001,0.00375,-0.03625,-0.05625,-0.00348,-0.0105125,0.036255002,1742111011.424756
0.0025,-0.02,0.1225,0.00125,0.0016475001,-0.00026,0.0025,-0.02125,-0.04,0.0060125,0.007995,-0.038315,1742111011.538673
0.00875,-0.0175,0.11875,0.00322,-0.00154,0.0002125,-0.05625,-0.18625,-0.13875,-0.005645,-0.0151675,0.0313425,1742111011.658747
0.00125,-0.025,0.12625,0.00045750002,-0.00154,-0.0022574998,0.03,-0.00125,-0.0325,0.0016775,-0.0014500001,0.0019375,1742111011.766746
0.0,-0.01875,0.11625,-0.00122,-0.0045025,-0.0044250004,-0.065,-0.1875,-0.13,0.015105,0.021514999,-0.03325,1742111011.880865
-0.00125,-0.01875,0.12125,-0.0006725,-0.001435,-0.0018475,-0.0025,-0.04625,-0.07625,-0.0113525,-0.0195475,0.032592498,1742111011.997329
-0.00375,-0.02375,0.12,0.000275,0.000275,-0.00059500005,0.01125,-0.045,-0.01125,0.010055,0.0128625,-0.026014999,1742111012.108778
-0.0025,-0.0175,0.1225,4.5e-05,-0.0007325,-0.000565,-0.04125,-0.17875,-0.17875,0.005355,-0.0093525,0.016967501,1742111012.222878
-0.005,-0.0225,0.125,-0.0009925,0.0027625,-0.0036475,0.0325,-0.00125,-0.03125,0.0036624998,-0.0037225,0.0089425,1742111012.337791
-0.0,-0.02,0.1175,0.001525,0.0001225,0.0006725,-0.03375,-0.1125,-0.15875,0.0066075,0.021302499,-0.0254675,1742111012.45071
-0.00375,-0.02,0.12375,-0.0001525,-0.001175,-0.0001375,-0.00875,-0.0775,-0.0925,-0.0128925,-0.024185,0.026337499,1742111012.564956
-0.0025,-0.02375,0.12,0.00052,0.0004725,0.0001225,0.0325,-0.0075,-0.00875,-0.0020599999,0.00827,-0.016082501,1742111012.678901
-0.0,-0.02,0.1175,0.00052,-0.001405,0.00029,-0.06375,-0.17375,-0.2,-0.0090175,0.0090625,-0.01451,1742111012.798557
-0.005,-0.02125,0.125,0.000245,0.0001225,-0.000825,-0.00625,-0.0575,-0.045,-0.00566,-0.014205,0.0267325,1742111012.90677
-0.0025,-0.0225,0.12,0.0010075001,0.00055,0.00058,0.01625,-0.03,-0.0225,0.01184,0.018035,-0.0193025,1742111013.020642
0.00125,-0.02,0.12,0.0004125,6e-05,0.0007025,-0.0525,-0.18625,-0.1975,0.0019225,-0.0124675,0.014205,1742111013.138724
-0.0,-0.02375,0.12,0.0004425,0.00113,-0.0009625,0.02625,-0.01375,-0.03,-0.00299,-0.00566,0.0114750005,1742111013.247794
-0.00125,-0.0225,0.12,0.00055,-0.000305,0.00052,-0.04,-0.11875,-0.13375,0.009475,0.021317499,-0.0275425,1742111013.361738
-0.00125,-0.02125,0.1225,-0.000107500004,-0.00033500002,-0.0007775,-0.01625,-0.08,-0.10125,-0.0117175,-0.019425,0.0281525,1742111013.4828238
-0.0,-0.02375,0.11875,-0.00023,0.00023,-0.000275,0.03375,-0.01625,-0.02875,-0.001235,0.000107500004,-0.0051275003,1742111013.589877
-0.00125,-0.0225,0.11875,0.000107500004,-0.00061,-0.000245,-0.05125,-0.14375,-0.16,0.0114899995,0.0169825,-0.019775,1742111013.7038841
-0.00125,-0.0225,0.12125,-0.0007775,-0.0009,-0.0006875,-0.01,-0.075,-0.09125,-0.0076599997,-0.0175325,0.0228875,1742111013.818452
-0.00375,-0.0225,0.12125,0.0004425,-0.0005025,-0.000365,0.045,0.00125,-0.02375,0.0007625,0.0030675002,-0.0002125,1742111013.9318762
-0.0025,-0.02125,0.1225,0.000305,0.00023,0.00035,-0.05625,-0.17375,-0.17875,0.011445,0.011215,-0.0193475,1742111014.045681
-0.0025,-0.02375,0.12125,3e-05,-0.00016750001,-0.000655,0.00125,-0.045,-0.075,-0.00966,-0.0171975,0.023315001,1742111014.159849
-0.0025,-0.0225,0.12125,-0.0009,0.0003975,-0.0007025,0.0275,-0.01375,-0.035,0.00415,0.012025,-0.02385,1742111014.27872
-0.00125,-0.02,0.12125,0.00029,-4.5e-05,0.000107500004,-0.0525,-0.17125,-0.1875,0.0016625,-0.0030975002,0.0058899997,1742111014.3877702
-0.00125,-0.0225,0.12,-0.00029,-9.25e-05,-0.000535,0.02,-0.03375,-0.0575,-0.0053875,-0.0103,0.015885001,1742111014.5019321
-0.00375,-0.0175,0.12375,0.0001975,-0.0006725,0.0007625,0.0075,-0.0675,-0.04875,0.011825,0.0154875005,-0.01944,1742111014.6186109
-0.00125,-0.02,0.12125,-0.0001375,7.75e-05,0.0002125,-0.02875,-0.13125,-0.195,-0.00267,-0.013915,0.010865,1742111014.729748
-0.005,-0.025,0.12125,0.000565,0.000565,-0.00026,0.02375,-0.035,-0.0375,-0.0027325,-0.0051275003,0.00673,1742111014.843744
-0.00125,-0.02125,0.12,0.0010225,0.0007775,0.0010825,-0.0125,-0.07625,-0.13375,0.0119624995,0.023697501,-0.0193325,1742111014.961893
-0.00125,-0.02,0.12,0.00026,-0.000305,-0.0001375,-0.015,-0.095,-0.1075,-0.01091,-0.024215,0.014527501,1742111015.078979
-0.0025,-0.025,0.12,-0.00016750001,0.0001975,-0.0004125,0.03,-0.04,-0.02625,-0.0025025,0.0045324997,0.0018300001,1742111015.185854
-0.00125,-0.02125,0.11875,-0.0001375,-0.000535,1.5e-05,-0.0225,-0.08875,-0.15375,0.0036,0.026825001,-0.021057501,1742111015.299804
-0.005,-0.02375,0.1225,-0.00016750001,-0.0009,-0.0003975,-0.0175,-0.07875,-0.09875,-0.0128625,-0.0205525,0.018555,1742111015.42062
-0.00375,-0.02375,0.12125,-0.0001525,0.000305,0.0,0.02,-0.0325,-0.03,-0.0013575,0.0048525,-0.005065,1742111015.527721
-0.0025,-0.01875,0.12,4.5e-05,-0.00093,-0.001145,-0.05,-0.13375,-0.17375,-0.000107500004,0.024245001,-0.0245975,1742111015.641799
-0.005,-0.025,0.125,0.0003825,7.75e-05,0.000275,-0.01875,-0.07375,-0.065,-0.0092175,-0.02028,0.017424999,1742111015.758085
-0.00375,-0.02,0.11875,0.000365,0.00033500002,0.000535,0.01625,-0.04,-0.01625,0.003585,0.009292499,-0.0085,1742111015.869649
-0.0025,-0.02125,0.12125,-4.5e-05,-0.00064,-0.00091500004,-0.0575,-0.155,-0.18875,0.0021675,0.00033500002,-0.004975,1742111015.983868
-0.00375,-0.02375,0.1225,0.0001825,0.0003975,6e-05,0.0025,-0.05625,-0.0425,-0.0036175,-0.0113075,0.0169825,1742111016.098901
-0.00375,-0.02,0.12,0.000275,0.00016750001,-0.00035,-0.0125,-0.055,-0.055,0.0044400003,0.021165,-0.026290001,1742111016.218848
-0.00375,-0.02125,0.1225,6e-05,-0.0003825,0.0001525,-0.06375,-0.145,-0.14375,-0.008957501,-0.010895001,0.0149225,1742111016.325773
-0.00375,-0.02375,0.12,-4.5e-05,0.00016750001,3e-05,0.01125,-0.035,-0.04125,-0.00302,-0.0042575,0.013595,1742111016.441406
-0.005,-0.02125,0.12125,0.0004125,-0.0007175,0.00016750001,-0.03625,-0.075,-0.0825,0.0047750003,0.0181125,-0.031875,1742111016.559065
-0.00375,-0.02125,0.12,0.0001375,-0.000945,0.0,-0.05875,-0.14375,-0.1225,-0.0074775,-0.01744,0.0263825,1742111016.667855
-0.005,-0.025,0.12,3e-05,0.0007775,-0.00023,0.02875,-0.00875,-0.03125,-0.0036475,-0.003235,0.0160675,1742111016.781614
-0.005,-0.02125,0.12,0.0003825,-0.00055,-0.0001525,-0.0525,-0.11875,-0.1225,0.0086525,0.0199125,-0.0386975,1742111016.899571
-0.005,-0.02375,0.12,0.00023,-0.00035,-0.0001225,-0.03875,-0.10875,-0.09375,-0.0107725,-0.018202499,0.034424998,1742111017.018543
-0.005,-0.0225,0.11875,0.00016750001,-1.5e-05,7.75e-05,0.0325,-0.015,-0.02625,-0.0028074998,0.0018150001,0.003845,1742111017.123683
-0.00625,-0.02375,0.12125,-0.000107500004,-0.0006725,-0.00035,-0.05625,-0.12875,-0.13625,0.0131375,0.019745002,-0.03093,1742111017.2389472
-0.00625,-0.0225,0.1225,-0.0001375,-0.0002125,0.0004725,-0.02875,-0.105,-0.09125,-0.014145001,-0.019485,0.029815001,1742111017.358451
-0.005,-0.02375,0.1175,-4.5e-05,-6e-05,0.00059500005,0.025,-0.0325,-0.0225,0.0019525,0.0018475,-0.0037075,1742111017.465738
-0.00625,-0.02125,0.12125,3e-05,-0.00058,-0.00032,-0.06,-0.11375,-0.1225,0.0132,0.024459999,-0.025315,1742111017.579804
-0.00625,-0.02125,0.1225,-0.000107500004,-0.000245,3e-05,-0.0325,-0.105,-0.085,-0.0079499995,-0.022094999,0.023635,1742111017.6989288
-0.0075,-0.02375,0.11875,0.0002125,0.0001225,0.0001825,0.01625,-0.0425,-0.0225,-0.0040125,0.0072625,0.0016475001,1742111017.8075461
-0.0075,-0.0225,0.12125,0.00045750002,0.0003975,-0.000855,-0.055,-0.10375,-0.1475,0.013702501,0.022370001,-0.0243375,1742111017.921708
-0.0075,-0.0225,0.1225,0.00029,-0.0001525,-0.0001225,-0.03,-0.1025,-0.0725,-0.0101475,-0.0178975,0.021652501,1742111018.039146
-0.00625,-0.0225,0.12,0.00032,0.00032,0.0004125,0.015,-0.0425,-0.03,0.002,0.005935,0.0031275,1742111018.149715
-0.005,-0.0225,0.11875,-4.5e-05,-0.0001225,-0.00035,-0.05375,-0.13875,-0.155,0.0069724997,0.0119325,-0.02652,1742111018.263756
-0.00625,-0.025,0.1225,-0.0007475,-0.00016750001,0.000275,-0.0325,-0.09625,-0.07625,-0.004135,-0.0069274995,0.03215,1742111018.379074
-0.00625,-0.0225,0.12,0.000107500004,3e-05,0.000305,0.01875,-0.00375,-0.05,0.000625,0.0050500003,-0.0067600003,1742111018.498234
-0.00625,-0.02125,0.12,4.5e-05,-0.00064,-3e-05,-0.0775,-0.18375,-0.1525,0.004745,0.002105,-0.017395,1742111018.604755
-0.0075,-0.02375,0.1225,-6e-05,4.5e-05,-0.00048750002,-0.0075,-0.04875,-0.07125,-0.0044250004,-0.0175925,0.026275,1742111018.719507
-0.0075,-0.0225,0.12125,0.00035,0.0004725,0.00061,0.00375,-0.06625,-0.025,0.0029449998,0.0075375,-0.020049999,1742111018.838538
-0.005,-0.02375,0.12,0.0001525,4.5e-05,0.0,-0.05375,-0.13875,-0.17,-0.0011900001,-0.0046550003,0.0056149997,1742111018.9465458
-0.00625,-0.02625,0.11875,1.5e-05,-0.0001825,-0.0001375,-0.0025,-0.0625,-0.045,-0.0028074998,-0.007035,0.011735,1742111019.06071
-0.00625,-0.02,0.12,-3e-05,-0.00045750002,-9.25e-05,-0.00875,-0.06625,-0.04125,0.0064250003,0.0213325,-0.01921,1742111019.179532
-0.00625,-0.02375,0.11875,-0.00016750001,-0.0008075,0.0001225,-0.0725,-0.14125,-0.16625,-0.0010975,-0.0092,0.0037075,1742111019.2887301
-0.00875,-0.02375,0.12125,-0.00029,-0.000107500004,-4.5e-05,-0.005,-0.05625,-0.0425,-0.001495,-0.0110625,0.0172875,1742111019.4027278
-0.0075,-0.02125,0.12,-0.00016750001,-0.00032,4.5e-05,-0.01375,-0.045,-0.07,0.0045775,0.0183875,-0.021302499,1742111019.5190341
-0.01,-0.02125,0.12125,-9.25e-05,-0.0007775,0.00023,-0.07,-0.15125,-0.14375,-0.0048525,-0.0110025,0.00566,1742111019.639233
-0.00875,-0.0225,0.12,-0.000107500004,0.00064,0.0003825,0.005,-0.03875,-0.05125,-0.0038,-0.0107425,0.0184625,1742111019.744561
-0.00875,-0.02125,0.12,0.0001525,0.0004275,-1.5e-05,-0.0225,-0.06625,-0.06,0.0033725,0.01703,-0.0290075,1742111019.8589802
-0.0075,-0.02125,0.12125,-4.5e-05,-1.5e-05,-1.5e-05,-0.04875,-0.1225,-0.11375,-0.00673,-0.014405,0.01854,1742111019.972766
-0.00875,-0.02375,0.12,3e-05,0.0001975,7.75e-05,0.01625,-0.0275,-0.03625,-0.0012050001,-0.00033500002,0.002045,1742111020.0864372
-0.00875,-0.0225,0.12,9.25e-05,7.75e-05,0.0002125,-0.05375,-0.09125,-0.11375,0.0071725002,0.020537501,-0.030975001,1742111020.2005372
-0.0075,-0.02125,0.12,0.000107500004,-0.0004725,0.00016750001,-0.05,-0.1175,-0.095,-0.008865,-0.01744,0.022950001,1742111020.319628
-0.00875,-0.0225,0.12125,0.0,0.00035,9.25e-05,0.02125,-0.025,-0.03125,-0.002075,0.0003975,0.0107275,1742111020.4284348
-0.0075,-0.0225,0.11875,0.0003975,-0.0002125,7.75e-05,-0.075,-0.1325,-0.14875,0.0110775,0.019897498,-0.0408775,1742111020.542689
-0.01,-0.02125,0.1225,-0.0002125,-0.0005025,-0.00032,-0.04125,-0.1075,-0.0725,-0.0076149995,-0.01596,0.03595,1742111020.660353
-0.01,-0.0225,0.12,-7.75e-05,0.0,0.00023,0.03375,-0.0,-0.03625,-0.002715,0.0061950004,0.012085,1742111020.7799401
-0.0075,-0.02125,0.12,0.0002125,4.5e-05,0.0004725,-0.08875,-0.1725,-0.16,0.0146175,0.0086675,-0.059357498,1742111020.884446
-0.0075,-0.02125,0.1225,-0.00016750001,0.000275,-0.000565,-0.0425,-0.0975,-0.07875,-0.015275,-0.0210125,0.0482025,1742111020.9995148
