L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.015,0.09375,0.11875,-0.0112,0.017930001,0.0029000002,-0.00125,-0.015,0.135,0.005935,-0.00087,-0.0019824998,1742103624.715322
0.0075,0.1125,0.04625,-0.0033875,0.039612498,0.0078125,-0.035,-0.06125,0.17125,0.037185002,0.0189975,-0.0007475,1742103624.8246999
0.02375,0.0975,0.01,0.0006725,0.009795,-0.00328,0.01625,-0.0725,0.05875,0.040025003,0.028365,0.0039975,1742103624.938774
-0.005,0.1025,0.045,0.011779999,-0.093627505,-0.0121775,0.0375,-0.09625,-0.005,0.05754,-0.04271,0.0022574998,1742103625.0549471
-0.02125,0.07625,0.14875,0.0049274997,0.038680002,0.00557,-0.01625,-0.16375,0.15625,0.00618,0.0038299998,0.0021675,1742103625.175476
0.0125,0.1025,0.03625,0.00264,0.0355675,0.002105,0.02375,-0.10875,0.05625,-0.0001225,0.0419,0.004485,1742103625.280763
0.0325,0.0825,0.015,0.0042125,0.007005,0.0054775,0.0425,-0.08625,0.00625,-0.0125124995,0.0199275,0.0049274997,1742103625.395133
-0.0025,0.12875,0.015,-0.0033275,-0.0529625,0.0081025,0.04375,-0.07125,0.0025,0.0123149995,-0.0425875,-0.0062875,1742103625.514519
-0.07,0.0625,0.24375,-0.014557499,0.0508875,-0.0066675,-0.03,-0.19,0.23125,-0.00409,0.022629999,-0.0020150002,1742103625.6218219
0.0075,0.10125,0.00875,0.000625,0.045654997,-0.00048750002,0.01875,-0.11,0.02,0.0074775,0.049607497,0.005875,1742103625.735622
0.035,0.08375,0.01,-0.0117025,0.0034475,0.00293,0.0575,-0.06625,0.00125,-0.00821,0.013505,0.0019075,1742103625.848623
0.0125,0.1125,-0.01375,-0.0117175,-0.0302425,0.01468,0.04625,-0.095,-0.005,0.0075075002,-0.017930001,-0.00882,1742103625.961832
-0.1175,0.105,0.26875,0.021897499,-0.0496375,-0.00975,-0.00125,-0.14125,0.1725,0.012542499,-0.0877075,-0.001405,1742103626.07604
-0.015,0.12125,0.01625,-0.01085,0.058532503,0.00264,0.005,-0.09,0.085,-0.006225,0.059814997,-0.00029,1742103626.194486
0.0325,0.085,-0.00625,0.0045475,0.010314999,-0.0029749998,0.0425,-0.095,-0.02,-0.0124675,0.028275,0.006835,1742103626.303765
0.03,0.08625,-0.00125,-0.008865,-0.0248875,0.00859,0.05125,-0.0875,-0.00125,0.0034175,-0.015885001,-0.0064250003,1742103626.417842
-0.05375,0.13625,0.14,0.01596,-0.06314,-0.00415,0.015,-0.125,0.0625,0.0089724995,-0.082,-0.01027,1742103626.53456
-0.03375,0.11,0.1,-0.0087425,0.054,-0.00064,0.00125,-0.1125,0.17,-0.0139925005,0.03424,0.0057675,1742103626.654676
0.01,0.09875,-0.00125,0.0034325,0.033384997,-0.0056925,0.02375,-0.10625,0.00125,-0.0039224997,0.049087502,-0.002045,1742103626.759727
0.0425,0.08125,-0.01,-0.0042875,-0.0030825,0.004135,0.04375,-0.08125,-0.02125,-0.013015,0.0125725,-0.0018925001,1742103626.873982
-0.0075,0.13125,0.0075,0.0059975,-0.052047502,0.00978,0.0325,-0.11,-0.00375,0.009902501,-0.0494375,-0.007935,1742103626.995413
-0.085,0.105,0.21125,0.0155175,-0.017655,-0.014557499,-0.04125,-0.14,0.1725,0.01233,-0.0457775,0.0104825,1742103627.1018329
-0.01125,0.1175,0.035,-0.002715,0.051955003,0.0031424998,0.0025,-0.09875,0.06625,-0.0083625,0.06186,-0.0036624998,1742103627.215778
0.0275,0.095,0.00875,-0.000245,0.025084998,-0.000565,0.03875,-0.0975,-0.005,-0.003005,0.037657503,0.0010525,1742103627.337569
0.035,0.0925,0.00375,-3e-05,-0.0093375,0.00557,0.0525,-0.0875,0.0025,0.0040749996,-0.0081625,-0.0024875,1742103627.443767
-0.02375,0.125,0.0375,-0.002715,-0.0773475,-0.002625,0.0225,-0.11625,0.015,0.025604999,-0.06218,-0.0113375,1742103627.557934
-0.0275,0.085,0.1625,-0.0044400003,0.035720002,-0.00148,-0.0275,-0.1525,0.19,-0.0018150001,0.019667499,0.0036624998,1742103627.6745431
0.005,0.1175,0.005,-0.0036475,0.039735,-0.0005025,0.015,-0.12125,0.01875,-0.017792499,0.052474998,-0.000825,1742103627.785794
0.0325,0.09125,-0.01,0.0104825,0.0077825,0.001435,0.045,-0.08875,0.0,-0.010162501,0.018692499,0.0021975,1742103627.899611
0.0125,0.1175,-0.0175,0.00061,-0.039169997,0.008315,0.0475,-0.10125,0.005,0.0096424995,-0.02208,-0.0032950002,1742103628.013833
-0.0875,0.12375,0.20875,0.018875,-0.02388,-0.0071875,0.00125,-0.12375,0.11375,0.009872501,-0.085205,0.0010375,1742103628.1341069
