L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.0875,0.0675,0.05,0.0022725,0.0063175,-0.0019375,-0.035,-0.045,0.115,-0.0013575,0.00122,-0.001175,1742107698.238487
0.09,0.06375,0.04875,0.0016625,-0.0007175,-0.001115,-0.06625,-0.05375,0.15375,-0.0024575,-0.0054175,0.0065300004,1742107698.3526678
0.08,0.06875,0.065,0.00093,-0.01654,0.0027474998,-0.04625,-0.04875,0.10625,0.027725,0.0172875,0.0266425,1742107698.459841
0.04125,0.0725,0.105,0.016617501,-0.03514,-0.00769,-0.06375,-0.10625,0.19,0.0098425,0.07524,0.0234975,1742107698.57837
0.02375,0.01,0.15375,-0.0240175,-0.004745,-0.022582501,0.12875,-0.13875,-0.03,-0.053724997,0.125335,-0.0302125,1742107698.694429
0.00625,0.0775,-0.0025,0.054015,0.13986251,0.043685,0.12375,-0.05125,-0.03875,0.08142,-0.054215,0.009475,1742107698.802121
0.09375,0.11375,-0.085,-0.042099997,-0.026899999,-0.0199275,-0.02875,-0.095,0.1625,0.0267325,-0.0821075,0.0281225,1742107698.9159412
0.06375,0.005,0.055,-0.041245,-0.1451725,-0.0081625,-0.03625,-0.18625,-0.0325,-0.191985,0.15475501,-0.058625,1742107699.035895
0.01875,0.10375,0.12,0.066010006,0.175065,0.05806,0.105,-0.055,-0.075,0.118775,-0.0549625,0.009734999,1742107699.153216
0.09625,0.12625,-0.1075,-0.068145,-0.030335,-0.0166775,0.01,-0.1075,0.095,0.0041799997,-0.115525,0.014725001,1742107699.257805
0.05375,0.04125,0.06625,-0.02617,-0.123519994,-0.023225,-0.01125,-0.11875,0.0725,-0.13032499,0.1594075,-0.06804,1742107699.373906
-0.015,0.01625,0.185,0.041,0.1165475,0.067765,0.11125,-0.0375,-0.07,0.119292505,-0.0163125,0.0137950005,1742107699.4932852
0.10875,0.155,-0.01375,-0.0405875,0.0157775,-0.0047150003,0.05625,-0.1225,0.0225,0.0343475,-0.132065,0.000245,1742107699.599885
0.1,0.05875,0.025,-0.046447497,-0.072525,-0.023315001,-0.00875,-0.0825,0.18125,-0.0062399996,0.0712575,-0.0301675,1742107699.714047
0.0075,0.02,0.17,0.0055075004,-0.034957502,0.0139325,0.0725,-0.14875,-0.00625,-0.0771325,0.098205,-0.007355,1742107699.834053
-0.01125,0.22875,0.03125,0.0585775,0.12994501,0.0507975,0.11,-0.0725,-0.06625,0.0720525,-0.099015,0.0083925,1742107699.9419641
0.0825,0.09625,-0.065,-0.013595,-0.039735,-0.0375975,-0.0425,-0.075,0.2525,0.0216675,-0.0225075,0.0095525,1742107700.0563688
0.0675,-0.05,0.12625,-0.022475,-0.10849,-0.019105,0.0175,-0.24125,-0.02375,-0.07306,0.1371925,-0.058975,1742107700.173456
-0.005,0.105,0.09625,0.0034475,0.12936501,0.05922,0.11125,-0.0025,-0.05,0.0633075,-0.059157502,0.020995,1742107700.2926478
0.06,0.17125,-0.06,-0.07956,-0.0124200005,-0.0396875,0.0325,-0.10875,0.11875,0.00235,-0.08632,0.007385,1742107700.397721
0.0775,-0.01,0.09875,-0.015975,-0.1104725,-0.0231175,0.00875,-0.1275,0.07375,-0.0895075,0.120925,-0.043442503,1742107700.5143611
0.03625,0.02125,0.135,0.027435,0.096007496,0.0477,0.0925,-0.0575,-0.05875,0.0733025,-0.0113075,0.02159,1742107700.633217
0.05625,0.21,0.00875,-0.01065,0.019592501,0.00763,0.03625,-0.10375,0.01375,0.040282503,-0.1520375,0.0115825,1742107700.739736
0.0775,0.065,-0.01,-0.0028375,-0.0647125,-0.038375,-0.03125,-0.04125,0.20875,0.015975,0.1018225,-0.004685,1742107700.852864
0.02,0.015,0.1975,-0.010255001,-0.0255275,-0.0026099999,0.0975,-0.175,-0.0175,-0.1151725,0.098785006,-0.028245,1742107700.972878
0.01125,0.165,0.04375,0.061462503,0.116165,0.05661,0.11,-0.085,-0.055,0.086762495,-0.09056,0.0092175,1742107701.080906
0.07625,0.1425,-0.0725,-0.049912497,-0.0317225,-0.03125,-0.01125,-0.0675,0.21875,0.012345,-0.0234975,0.00528,1742107701.1948612
0.07625,-0.0225,0.1,-0.011535,-0.090865,-0.02008,-0.0075,-0.15125,0.045,-0.116607495,0.1363825,-0.0579675,1742107701.3133178
0.02,0.0325,0.14,-0.008712499,0.0808875,0.035645,0.1,-0.06625,-0.07875,0.07611,-0.0184025,0.01712,1742107701.433627
0.07375,0.2,0.00375,-0.001465,0.046462502,0.0028375,0.0675,-0.06875,0.0075,0.028944999,-0.13899249,0.0142525,1742107701.536694
0.09125,0.07125,-0.03625,-0.0292975,-0.062377498,-0.0334925,-0.04125,-0.04,0.2425,0.0034625002,0.0528875,-0.015395001,1742107701.654289
-0.015,-0.00125,0.1725,-0.0104975,-0.076615,0.0038599998,0.0625,-0.1925,-0.02375,-0.1393275,0.12262,-0.050995,1742107701.774506
-0.01625,0.1925,0.02375,0.1029825,0.1698,0.0835125,0.12875,-0.08625,-0.075,0.1139075,-0.0678875,0.02121,1742107701.8789701
0.09375,0.10625,-0.07625,-0.10794,-0.035095003,-0.035705,0.00875,-0.06125,0.12125,-0.021317499,-0.094620004,0.0066525,1742107701.9945002
0.065,0.01,0.075,0.0047925,-0.0998075,-0.0005025,-0.035,-0.10125,0.1,-0.073487505,0.152055,-0.0611425,1742107702.11391
-0.0025,0.065,0.15125,0.0154275,0.115845,0.061265,0.08375,-0.07375,-0.0625,0.068330005,0.002305,0.0196525,1742107702.220902
0.05,0.18375,-0.02875,-0.0443125,0.002655,-0.0199425,0.0725,-0.075,-0.0025,0.058257498,-0.114930004,0.00882,1742107702.3347719
0.095,0.025,0.04375,-0.02591,-0.094375,-0.0370025,-0.0025,-0.08375,0.2125,0.0029749998,0.04866,-0.02153,1742107702.4543538
0.01625,0.04625,0.15875,-0.00531,-0.024445,0.0150150005,0.14375,-0.14125,-0.03625,-0.0924375,0.066345,-0.0193025,1742107702.5629928
0.0025,0.1525,0.0625,0.0446175,0.1110225,0.046630003,0.1075,-0.09375,-0.0475,0.09932,-0.082825,0.016617501,1742107702.6768682
0.08375,0.1175,-0.055,-0.0534825,-0.0464025,-0.02977,0.015,-0.04875,0.18,-0.0033725,-0.0420525,0.00714,1742107702.794762
0.05375,0.0125,0.1275,-0.0051725,-0.0732425,-0.0171975,-0.02625,-0.19125,-0.0375,-0.1614525,0.13475,-0.0632175,1742107702.915117
0.00375,0.07125,0.10625,0.056855,0.1443025,0.050307497,0.125,-0.0475,-0.11625,0.1178275,-0.0293575,0.0331125,1742107703.01886
0.04625,0.145,-0.18,-0.0422975,-0.02089,-0.0301675,0.07375,-0.0,0.11375,0.0281975,-0.077515,0.0134275,1742107703.135711
0.11625,-0.08,0.08375,-0.022444999,-0.096145,-0.017700002,0.0775,-0.11875,0.1,-0.035155,0.09401,-0.0243225,1742107703.255614
0.04,0.085,0.14125,0.0187075,0.1192325,0.0317075,0.12375,-0.1275,-0.07625,-0.006775,0.033875,0.0057225,1742107703.360876
0.05,0.19,-0.17375,-0.02823,0.028855,-0.0186775,0.14,-0.03625,-0.0275,0.05899,-0.0924525,0.01155,1742107703.475468
0.1,-0.01125,-0.045,-0.008835,-0.0719,-0.028335,0.01375,-0.09375,0.20875,0.0270375,0.024459999,-0.01294,1742107703.5946
0.065,0.005,0.1325,-0.0357975,-0.07470749,0.008880001,0.11,-0.15625,-0.00625,-0.099089995,0.0817575,-0.048005,1742107703.7158332
0.01375,0.145,-0.00625,0.078370005,0.101592496,0.0628825,0.095,-0.0325,-0.0575,0.0779425,-0.052185003,0.022675,1742107703.816751
0.07875,0.11,-0.1225,-0.0567775,-0.041580003,-0.031004999,0.03625,-0.075,0.13,0.0099325,-0.10019,0.0019225,1742107703.935861
0.09,-0.005,0.13875,-0.029205,-0.109910004,0.008285,-0.01875,-0.17375,0.06875,-0.052155,0.134155,-0.04068,1742107704.0448508
0.07125,0.0825,0.04,0.038085,0.096955,0.046982497,0.075,-0.08625,-0.0525,0.089555,-0.008515,0.0384675,1742107704.158765
0.08125,0.105,-0.135,-0.0550225,-0.016265,-0.0307475,0.07375,-0.08,0.06,0.0384225,-0.12732,0.0024425,1742107704.276611
0.11375,-0.00875,0.075,-0.03009,-0.0938275,-0.0036,-0.0175,-0.10625,0.145,-0.051544998,0.1501925,-0.047957502,1742107704.396211
0.03875,0.0675,0.115,-0.0096275,0.0773475,0.0285025,0.07625,-0.07875,-0.04375,0.1065225,-0.0037850002,0.0284575,1742107704.500736
0.025,0.24875,-0.10125,-0.033919998,0.016555,-0.017792499,0.08,-0.05875,0.01375,0.0233,-0.1266625,0.0113975,1742107704.616182
0.08625,0.03125,-0.02125,-0.00975,-0.070695,-0.030639999,0.00125,-0.06375,0.19375,-0.0137325,0.09105001,-0.0373225,1742107704.7366662
0.0325,0.0375,0.1625,-0.021102501,-0.039474998,0.00531,0.105,-0.04875,0.0525,-0.0469525,0.0393675,-0.0040749996,1742107704.8417
0.015,0.2325,0.025,0.102845,0.09753501,0.05211,0.09875,-0.09625,-0.01125,0.0532225,-0.112182505,0.015395001,1742107704.956882
0.0875,0.09625,-0.0725,-0.0635525,-0.04654,-0.034302503,-0.015,-0.06875,0.25875,0.001435,-0.013505,-0.0116875,1742107705.0803158
0.0825,0.01,0.11875,0.0004275,-0.092805,0.0037375,0.05125,-0.21375,-0.035,-0.1705475,0.157975,-0.058715,1742107705.1969721
0.0275,0.13,0.06875,0.1000675,0.142685,0.06363,0.11375,-0.0575,-0.085,0.1207275,-0.0561675,-0.0010825,1742107705.297844
0.07875,0.135,-0.08125,-0.0894325,-0.0225675,-0.030045,0.035,-0.0825,0.06875,-3e-05,-0.13736,0.013825,1742107705.417391
0.09125,0.0075,0.0825,-0.0243825,-0.113235004,-0.01973,-0.0575,-0.115,0.055,-0.13301,0.160355,-0.08107,1742107705.539168
0.0275,0.03,0.15625,0.042815,0.112427495,0.075972505,0.095,-0.0625,-0.05125,0.1272275,-0.032775,0.029129999,1742107705.639732
0.03375,0.215,0.0025,-0.0735025,0.0027925,-0.021455,0.03375,-0.09875,0.035,0.043,-0.1292725,0.0408325,1742107705.7574332
0.11125,-0.01,0.0325,-0.0374,-0.0773175,-0.051087502,-0.01375,-0.10875,0.11625,-0.078522496,0.1555625,-0.046447497,1742107705.877603
0.055,0.03125,0.17,-0.020629998,0.031432502,0.0104075,0.08375,-0.0575,-0.01,0.0214375,0.02623,0.01271,1742107705.981667
0.1025,0.18375,0.0575,0.069015,0.053237498,0.041045,0.1175,-0.04875,-0.03,0.0785675,-0.087815,0.0032950002,1742107706.0970628
0.10125,0.06875,-0.0275,-0.04416,-0.0290975,-0.03447,0.05625,-0.04625,0.11875,0.0115975,-0.052977502,0.0073249997,1742107706.217813
0.09875,-0.02,0.065,-0.0343475,-0.072127506,-0.046067502,0.01375,-0.1125,0.0275,-0.1903075,0.1369925,-0.056534998,1742107706.337609
0.0675,0.0225,0.12375,0.053177502,0.10994,0.0405425,0.14375,-0.04125,-0.09,0.12178,-0.039352503,0.0111225005,1742107706.437909
0.0775,0.1725,0.00125,-0.08844,-0.0069425,-0.0046225,0.09,-0.07625,0.03625,0.033065,-0.1077725,-0.0010075001,1742107706.5605671
0.1325,0.005,0.0075,-0.0549925,-0.072845004,-0.0148475,0.03375,-0.09875,0.09125,-0.1286175,0.1340325,-0.05864,1742107706.6781702
0.0825,0.07125,0.13,0.00949,0.0363475,0.0323475,0.1025,-0.0125,-0.03625,0.089462504,0.0075675,0.01039,1742107706.779527
0.09625,0.15875,0.06875,-0.031785,0.01477,0.0031424998,0.10875,-0.06,-0.03125,0.030639999,-0.0829475,-0.00949,1742107706.898519
0.1,0.06125,0.005,-0.0056,-0.053467497,-0.027145,-0.0225,-0.06625,0.19875,-0.003235,-0.090835,0.0058449996,1742107707.01984
0.04125,0.035,0.12875,-0.0281525,-0.111449994,-0.01419,-0.04,-0.095,0.03,-0.078675,0.183715,-0.0703575,1742107707.121761
-0.0025,0.0575,0.0825,0.05275,0.17361501,0.091217496,0.13125,-0.07625,-0.09125,0.140015,-0.04538,0.020615,1742107707.2392352
0.07875,0.14625,-0.045,-0.0827175,-0.0198525,-0.031785,0.02625,-0.0875,0.0375,-0.02159,-0.13414,0.005035,1742107707.360502
0.07875,0.02375,0.06,-0.034057498,-0.10968,-0.028565,0.00875,-0.025,0.1275,-0.054015,0.148865,-0.05954,1742107707.479237
0.02875,0.03,0.155,0.04718,0.0791025,0.0624075,0.11375,-0.075,-0.03125,0.123427495,-0.01291,0.023515,1742107707.582377
0.07125,0.12875,0.025,-0.0549925,-0.000855,-0.01114,0.07,-0.07875,0.0075,0.0207225,-0.12738,0.0001975,1742107707.7025778
0.105,0.04875,0.01625,-0.0398875,-0.0806425,-0.023285,-0.05625,-0.0425,0.24375,-0.0009625,0.026672501,-0.023697501,1742107707.804785
0.03375,0.04875,0.14375,-0.0069575,-0.0655375,6e-05,0.03125,-0.17375,0.015,-0.13649,0.1328575,-0.0623175,1742107707.918748
0.00875,0.11,0.065,0.0965725,0.1687325,0.08986,0.135,-0.0675,-0.09375,0.13780251,-0.072495006,0.014375,1742107708.0401652
0.1,0.11375,-0.0575,-0.115127504,-0.037415,-0.0296775,0.015,-0.06375,0.12,-0.0160525,-0.0794675,0.0061950004,1742107708.1585522
0.075,0.0525,0.085,-0.024185,-0.0841825,-0.021117501,0.0125,-0.11875,0.0775,-0.1266475,0.1557475,-0.07277,1742107708.260562
0.04,0.03625,0.105,0.090224996,0.105895,0.0661,0.1125,-0.03625,-0.11125,0.12651001,-0.007415,0.02423,1742107708.3807821
0.07,0.1225,0.0225,-0.0234525,0.02336,-0.002625,0.07375,-0.075,-0.01875,0.048295,-0.1354375,0.0099949995,1742107708.500764
0.09625,0.06875,0.00875,-0.037965,-0.08139,-0.0347125,-0.06,-0.05625,0.3025,-0.0054475004,0.0060875,-0.01506,1742107708.6026618
